,Coefficient,Mean SHAP,McFadden R2
n_low_intensity_anticipation,-0.18698719430243885,0.15060032158807268,0.962476295480574
n_low_prevalence,-0.18730584137869563,0.1337387225806552,0.962474929562573
n_low_intensity_disgust,-0.14182441539435114,0.1318149650582463,0.9623787467651974
avg_aoa,0.2021447170882383,0.13054959931238871,0.9625043659207816
avg_word_length,0.1927406289177562,0.12626766707717613,0.9624797690653883
n_high_aoa,0.15489420061647863,0.12096118600054384,0.9624027731476805
avg_Head_sensorimotor,0.18382582047667612,0.11380921672766367,0.9624531439313149
n_high_Head_sensorimotor,0.14554680020059288,0.11260247866605531,0.9623855361566153
n_VERB_Aspect_Prog,0.1451385883783664,0.1118074011441748,0.9623842872603591
cli,0.18782427737941684,0.1116043675109835,0.9624650989561507
avg_sd_aoa,0.17834097756903403,0.10563100707184478,0.9624444962335919
avg_sd_Head_sensorimotor,-0.1547518313768844,0.09972337348939965,0.9623966151653759
n_dependency_auxpass,-0.12626792738120382,0.09869285863132055,0.9623507252923352
avg_n_synsets,-0.13243079844512115,0.09854711030771893,0.9623600041321194
n_dependency_advcl,0.11804307983513497,0.09617772262377958,0.9623372890912821
avg_n_synsets_noun,-0.12784000375738805,0.09600977101855454,0.9623530846478099
n_high_valence,0.12300642782610642,0.09595001212561996,0.962345080724476
n_polysyllables,0.12090392478312376,0.09411627477137383,0.9623410534586513
n_low_intensity_sadness,-0.10770778868698314,0.09383981060472633,0.9623218157787015
avg_arousal,0.19695410518972908,0.09245213977563181,0.9624815053624816
n_dependency_case,0.11862415040615523,0.09219316494937685,0.9623346997171915
n_high_synsets,-0.12081090750965368,0.09213031851616928,0.9623393116707527
n_dependency_dobj,0.11614050439564995,0.09185190799740223,0.9623338287117049
smog,0.11973321732924942,0.08986040598593137,0.9623401174164532
n_dependency_nsubjpass,-0.11742658949161078,0.08967601502354083,0.9623363558143341
n_high_trust_intensity,0.10962739947760711,0.08772541440264633,0.9623231321332641
n_high_synsets_noun,-0.11406127758634248,0.08679467618329735,0.9623288115043009
n_high_anger_intensity,0.11881434355225298,0.08674903927445697,0.9623314802280174
lix,0.12363224882534592,0.08547407138850802,0.962340237406578
n_high_socialness,0.10805482354133039,0.08411665613978521,0.9623216522353779
n_dependency_poss,0.10358817468436593,0.08364345090327141,0.9623154857938115
n_low_intensity_anger,-0.09880300683405159,0.08348867056606424,0.9623093561986851
avg_Mouth_sensorimotor,0.12603884044499156,0.0831924081668065,0.9623474204120718
n_positive_sentiment,0.10386102035352796,0.08207006263461679,0.9623159171362826
avg_Torso_sensorimotor,0.12388508848108198,0.08083082122542722,0.962344228187679
avg_sd_Mouth_sensorimotor,0.11628196122258266,0.08047057351931823,0.9623330594203754
sentiment_score,0.10309095255635341,0.07840403300288765,0.962313637504961
avg_dominance,0.17885184916503985,0.07784960430789455,0.9624415031795934
n_high_fear_intensity,0.12414178687760283,0.07771295626139588,0.9623370678086233
n_aux,-0.09987974016534744,0.07710611642044125,0.962309877054239
entropy,0.14913283077756267,0.07687672113900822,0.962383063479232
n_controversial_socialness,0.09719553076937927,0.07665347152223931,0.9623070092021178
n_PROPN_Number_Plur,0.1171554471668407,0.07472530168805222,0.9623320831459143
n_high_arousal,0.09526840363104654,0.07457972355190375,0.9623031024738774
n_low_synsets_verb,0.09145410748857985,0.07308292974961515,0.962299888177012
n_monosyllables,-0.09687267385086756,0.07242690997675452,0.9623053354928685
avg_intensity_anger,0.0789030544537807,0.07135172284882958,0.9622855693831834
n_long_words,0.09357784650312219,0.07123087515337595,0.962301430018154
avg_sd_Interoceptive_sensorimotor,0.14297803398321793,0.07120802111639568,0.9623673070857751
avg_intensity_fear,0.08330741507143874,0.06866094050752691,0.9622903988348641
n_low_synsets_noun,0.08635305023874519,0.06605480779451901,0.9622922083562554
avg_sd_concreteness,-0.10109796147677276,0.06577256390735185,0.9623106045916796
avg_Foot_leg_sensorimotor,0.09814273277573224,0.06561452155998038,0.9623076813691701
rix,0.08708363250697448,0.06502745547033424,0.9622926764276412
avg_intensity_surprise,0.07208583663274304,0.06395768732586629,0.9622786128546374
avg_Hand_arm_sensorimotor,0.09497934330805682,0.06297622495106783,0.9623037071897526
n_high_Foot_leg_sensorimotor,0.07424234524747605,0.06288916589343593,0.9622806455247335
avg_valence,0.14983412772294513,0.0626931866494171,0.9623859966278759
avg_intensity_trust,0.1096837242555179,0.062415128919600306,0.9623244203353296
n_low_valence,0.08072991225908253,0.062286011697880554,0.9622854087039499
n_dependency_attr,-0.0845109110330626,0.062030912257013696,0.9622908341543287
n_low_intensity_surprise,-0.07125175298463106,0.061952859095976774,0.962277792396245
avg_sd_iconicity,-0.08463666130216353,0.06184007053675311,0.9622914178399434
avg_concreteness,-0.09647244369672305,0.06173948684996491,0.962305229111918
ari,0.08907777136697727,0.0589790402572265,0.9622934363722341
gunning_fog,0.08162929873616677,0.05797579920824817,0.962284959146444
n_PRON_Person_2,0.24694845511775992,0.056463253649749856,0.9624920726555333
n_high_surprise_intensity,0.11396552951159943,0.05587041883953516,0.962327596508526
ID,0.063778318923721,0.05573427285040141,0.9622709712986467
n_low_intensity_fear,-0.0687306060952468,0.05532716523242687,0.9622753797801453
avg_prevalence,0.160736631538656,0.05516540171291226,0.9624010077397978
mtld,0.07061896808265596,0.05420878793108833,0.9622760399552838
n_det,-0.0683081497206644,0.053000991208768465,0.9622745194323402
n_VERB_VerbForm_Inf,0.07057239201741766,0.05295257141847216,0.9622763381303823
n_low_synsets,0.06803065380679096,0.052086052195924055,0.9622742680790121
n_PUNCT_PunctType_Brck,-0.07830394255945594,0.05151860202592739,0.9622787874199192
n_DET_Definite_Ind,-0.0674044232114517,0.05122863097299616,0.9622738589952352
n_dependency_pcomp,0.06330926494254498,0.05056972433544198,0.9622704678863271
n_dependency_det,-0.06538624630571416,0.050552401695193136,0.9622718915541316
n_low_arousal,-0.06354806227733244,0.04965557398383856,0.9622706960921975
avg_Interoceptive_sensorimotor,0.09051884274128637,0.04959369485482685,0.9622942924641478
n_high_synsets_adv,-0.06200787104069671,0.04930113067611519,0.9622693821219955
